trade_date,symbol,name,market,close,pct_change,volume,amount,source,currency,asset_group
20251111,META,Meta,US_EQUITY,625.4533081054688,-0.7407855845244615,13302200.0,,Yahoo Finance / yfinance,USD,科技龙头
20251111,MSFT,微软,US_EQUITY,505.47869873046875,0.5296468980217517,17980000.0,,Yahoo Finance / yfinance,USD,科技龙头
20251111,MU,美光科技,US_EQUITY,240.87437438964844,-4.812474591544191,22622500.0,,Yahoo Finance / yfinance,USD,科技龙头
20251111,NVDA,英伟达,US_EQUITY,192.91395568847656,-2.9590603550341266,176483300.0,,Yahoo Finance / yfinance,USD,科技龙头
20251111,TSLA,特斯拉,US_EQUITY,439.6199951171875,-1.260026442672324,60533200.0,,Yahoo Finance / yfinance,USD,科技龙头
20251111,^DJI,道琼斯工业指数,US_INDEX,47927.9609375,1.1808068845670094,454970000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251111,^GSPC,标普500指数,US_INDEX,6846.60986328125,0.2075350517340535,4983490000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251111,^IXIC,纳斯达克综合指数,US_INDEX,23468.30078125,-0.2502176879772722,7756810000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251112,000660.KS,SK海力士,KR_EQUITY,615319.9375,-0.32309304283848483,2831484.0,,Yahoo Finance / yfinance,KRW,科技龙头
20251112,000688.SH,科创50,CN_INDEX,1379.45,-0.58,1272404100.0,618.53,中证指数官网 / AKShare,点,中国科技指数
20251112,005930.KS,三星电子,KR_EQUITY,102389.3125,-0.38647290855086114,19413497.0,,Yahoo Finance / yfinance,KRW,科技龙头
20251112,931087.CSI,中国科技龙头,CN_INDEX,5052.8,-0.14,2255840701.0,1304.68,中证指数官网 / AKShare,点,中国科技指数
20251112,AAPL,苹果,US_EQUITY,272.9628601074219,-0.6466862149501096,48398000.0,,Yahoo Finance / yfinance,USD,科技龙头
20251112,AMZN,亚马逊,US_EQUITY,244.1999969482422,-1.9670851205187079,31190100.0,,Yahoo Finance / yfinance,USD,科技龙头
20251112,DX-Y.NYB,美元指数,FX_INDEX,99.4800033569336,0.020112882209000205,0.0,,Yahoo Finance / yfinance,点,美元与利率
20251112,GOOGL,谷歌母公司,US_EQUITY,286.15008544921875,-1.579079679290607,24829900.0,,Yahoo Finance / yfinance,USD,科技龙头
20251112,META,Meta,US_EQUITY,607.43017578125,-2.881611159562303,24493300.0,,Yahoo Finance / yfinance,USD,科技龙头
20251112,MSFT,微软,US_EQUITY,507.9232177734375,0.48360475903499456,26574900.0,,Yahoo Finance / yfinance,USD,科技龙头
20251112,MU,美光科技,US_EQUITY,244.66067504882812,1.5718984922218349,17263100.0,,Yahoo Finance / yfinance,USD,科技龙头
20251112,NVDA,英伟达,US_EQUITY,193.5531463623047,0.3313345950255231,154935300.0,,Yahoo Finance / yfinance,USD,科技龙头
20251112,TSLA,特斯拉,US_EQUITY,430.6000061035156,-2.051769508633805,58513500.0,,Yahoo Finance / yfinance,USD,科技龙头
20251112,^DJI,道琼斯工业指数,US_INDEX,48254.8203125,0.6819805570828175,497550000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251112,^GSPC,标普500指数,US_INDEX,6850.919921875,0.06295171887717999,5293610000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251112,^IXIC,纳斯达克综合指数,US_INDEX,23406.4609375,-0.2635037122048822,8449920000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251113,000660.KS,SK海力士,KR_EQUITY,610333.5625,-0.8103711087697363,3875541.0,,Yahoo Finance / yfinance,KRW,科技龙头
20251113,000688.SH,科创50,CN_INDEX,1399.29,1.44,1211163000.0,627.6,中证指数官网 / AKShare,点,中国科技指数
20251113,005930.KS,三星电子,KR_EQUITY,102091.3828125,-0.2909773297872231,20838741.0,,Yahoo Finance / yfinance,KRW,科技龙头
20251113,931087.CSI,中国科技龙头,CN_INDEX,5104.14,1.02,1998939803.0,1207.51,中证指数官网 / AKShare,点,中国科技指数
20251113,AAPL,苹果,US_EQUITY,272.44384765625,-0.19014031834500011,49602800.0,,Yahoo Finance / yfinance,USD,科技龙头
20251113,AMZN,亚马逊,US_EQUITY,237.5800018310547,-2.7108907452568887,41401700.0,,Yahoo Finance / yfinance,USD,科技龙头
20251113,DX-Y.NYB,美元指数,FX_INDEX,99.18000030517578,-0.3015712119363356,0.0,,Yahoo Finance / yfinance,点,美元与利率
20251113,GOOGL,谷歌母公司,US_EQUITY,278.0260314941406,-2.8390884253361004,29494000.0,,Yahoo Finance / yfinance,USD,科技龙头
20251113,META,Meta,US_EQUITY,608.3079223632812,0.14450164266244236,20973800.0,,Yahoo Finance / yfinance,USD,科技龙头
20251113,MSFT,微软,US_EQUITY,500.12261962890625,-1.5357829434784254,25273100.0,,Yahoo Finance / yfinance,USD,科技龙头
20251113,MU,美光科技,US_EQUITY,236.71844482421875,-3.2462226399989746,32324600.0,,Yahoo Finance / yfinance,USD,科技龙头
20251113,NVDA,英伟达,US_EQUITY,186.62196350097656,-3.5810230893141393,207423100.0,,Yahoo Finance / yfinance,USD,科技龙头
20251113,TSLA,特斯拉,US_EQUITY,401.989990234375,-6.644220962287406,118948000.0,,Yahoo Finance / yfinance,USD,科技龙头
20251113,^DJI,道琼斯工业指数,US_INDEX,47457.21875,-1.6528951042293905,608110000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251113,^GSPC,标普500指数,US_INDEX,6737.490234375,-1.6556854961596978,5473720000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251113,^IXIC,纳斯达克综合指数,US_INDEX,22870.359375,-2.2903999196268954,11351410000.0,,Yahoo Finance / yfinance,点,美国主要指数
20251114,000660.KS,SK海力士,KR_EQUITY,558475.1875,-8.496726738667594,5778374.0,,Yahoo Finance / yfinance,KRW,科技龙头
20251114,000688.SH,科创50,CN_INDEX,1361.23,-2.72,1152590000.0,612.92,中证指数官网 / AKShare,点,中国科技指数
20251114,005930.KS,三星电子,KR_EQUITY,96529.984375,-5.447470966001122,21806342.0,,Yahoo Finance / yfinance,KRW,科技龙头
20251114,931087.CSI,中国科技龙头,CN_INDEX,4943.2,-3.15,1985941871.0,1153.28,中证指数官网 / AKShare,点,中国科技指数
20251114,AAPL,苹果,US_EQUITY,271.9048156738281,-0.197850671637112,47431300.0,,Yahoo Finance / yfinance,USD,科技龙头
20251114,AMZN,亚马逊,US_EQUITY,234.69000244140625,-1.2164320933474637,38956700.0,,Yahoo Finance / yfinance,USD,科技龙头
20251114,DX-Y.NYB,美元指数,FX_INDEX,99.2699966430664,0.09074040896723812,0.0,,Yahoo Finance / yfinance,点,美元与利率
20251114,GOOGL,谷歌母公司,US_EQUITY,275.8702087402344,-0.7754032031895175,31647200.0,,Yahoo Finance / yfinance,USD,科技龙头
20251114,META,Meta,US_EQUITY,607.8790283203125,-0.07050607549257126,20724100.0,,Yahoo Finance / yfinance,USD,科技龙头
20251114,MSFT,微软,US_EQUITY,506.96923828125,1.368988000867466,28505700.0,,Yahoo Finance / yfinance,USD,科技龙头
