trade_date,symbol,name,close,ma10w,ma20w,dev10w_pct,dev20w_pct,source
20210212,000688.SH,科创50,1437.02,1400.73,1408.1375,2.5907919442005323,2.051113616390432,公开指数日线计算（周五收盘/当周最后交易日）
20210219,000688.SH,科创50,1427.91,1407.225,1408.593,1.469914192826316,1.3713684506454271,公开指数日线计算（周五收盘/当周最后交易日）
20210226,000688.SH,科创50,1325.59,1403.673,1401.5745000000002,-5.562762837213519,-5.4213671838350574,公开指数日线计算（周五收盘/当周最后交易日）
20210305,000688.SH,科创50,1329.84,1401.6779999999999,1396.1399999999999,-5.125142864481003,-4.74880742618935,公开指数日线计算（周五收盘/当周最后交易日）
20210312,000688.SH,科创50,1261.32,1388.507,1392.3795,-9.159982628823627,-9.412627807289608,公开指数日线计算（周五收盘/当周最后交易日）
20210319,000688.SH,科创50,1231.29,1373.762,1384.2485000000001,-10.370937615103637,-11.049930702471421,公开指数日线计算（周五收盘/当周最后交易日）
20210326,000688.SH,科创50,1256.66,1354.6699999999998,1375.008,-7.234972354890845,-8.60707719518723,公开指数日线计算（周五收盘/当周最后交易日）
20210402,000688.SH,科创50,1299.92,1336.031,1368.1595,-2.7028564456962334,-4.9876860117551995,公开指数日线计算（周五收盘/当周最后交易日）
20210409,000688.SH,科创50,1271.44,1320.979,1360.1955,-3.7501731670223415,-6.525201708136807,公开指数日线计算（周五收盘/当周最后交易日）
20210416,000688.SH,科创50,1274.7,1311.569,1354.542,-2.811060645684671,-5.894390871600875,公开指数日线计算（周五收盘/当周最后交易日）
20210423,000688.SH,科创50,1311.83,1299.05,1349.8899999999999,0.983795850814051,-2.8194889953996216,公开指数日线计算（周五收盘/当周最后交易日）
20210430,000688.SH,科创50,1322.24,1288.483,1347.8539999999998,2.6199026296815697,-1.900354192664766,公开指数日线计算（周五收盘/当周最后交易日）
20210507,000688.SH,科创50,1263.9,1282.314,1342.9935,-1.4359977353440745,-5.889343470389097,公开指数日线计算（周五收盘/当周最后交易日）
20210514,000688.SH,科创50,1300.54,1279.384,1340.5310000000002,1.6536082989938805,-2.983220828164379,公开指数日线计算（周五收盘/当周最后交易日）
20210521,000688.SH,科创50,1315.21,1284.7730000000001,1336.6399999999999,2.3690566349074738,-1.6032738807756686,公开指数日线计算（周五收盘/当周最后交易日）
20210528,000688.SH,科创50,1386.04,1300.248,1337.005,6.59812589598292,3.667525551512507,公开指数日线计算（周五收盘/当周最后交易日）
20210604,000688.SH,科创50,1431.52,1317.734,1336.202,8.634974888710477,7.133502269866376,公开指数日线计算（周五收盘/当周最后交易日）
20210611,000688.SH,科创50,1436.28,1331.3700000000001,1333.7005000000001,7.879853083665678,7.691344496009389,公开指数日线计算（周五收盘/当周最后交易日）
20210618,000688.SH,科创50,1494.7,1353.696,1337.3375,10.416223435690153,11.766850178059007,公开指数日线计算（周五收盘/当周最后交易日）
20210625,000688.SH,科创50,1534.85,1379.7109999999998,1345.6399999999999,11.244311308672629,14.060967272078727,公开指数日线计算（周五收盘/当周最后交易日）
